flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.generic.status.text,flight.aircraft.model.code,flight.airline.short,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time,Timestamp,WeatherInfo,time.of.day,month,season,day.of.week,temp,dew.pt,vis,pressure,wind.speed,isDelayed?
KL1347,KLM25G,True,departed,B738,KLM,20231229,1645,1703864700,1703865847,20231229,1704,2023-12-29 16:45:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1887,KLM47Y,True,departed,E190,German Airways,20231229,1645,1703864700,1703868617,20231229,1750,2023-12-29 16:45:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1133,KLM17G,True,departed,E295,KLM,20231229,1650,1703865000,1703867839,20231229,1737,2023-12-29 16:50:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL621,KLM166,True,departed,B78X,KLM,20231229,1650,1703865000,1703867567,20231229,1732,2023-12-29 16:50:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1745,KLM35V,False,departed,E75S,KLM,20231229,1650,1703865000,1703865667,20231229,1701,2023-12-29 16:50:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
KL1783,KLM32N,True,departed,B738,KLM,20231229,1650,1703865000,1703866372,20231229,1712,2023-12-29 16:50:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1607,KLM41L,True,departed,B737,Transavia,20231229,1655,1703865300,1703866166,20231229,1709,2023-12-29 16:55:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
KL1633,KLM83Z,True,departed,B738,KLM,20231229,1655,1703865300,1703866911,20231229,1721,2023-12-29 16:55:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
HV5951,TRA5951,True,departed,B738,Transavia,20231229,1655,1703865300,1703867719,20231229,1735,2023-12-29 16:55:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1675,KLM75K,True,departed,B738,KLM,20231229,1655,1703865300,1703867364,20231229,1729,2023-12-29 16:55:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
